"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"Май '23","29151,7","29.252,1","29.490,5","27.685,9","342,60K","-0,34%"
"Апр. '23","29252,1","28.473,7","30.964,9","27.054,3","2,03M","2,73%"
"Март '23","28473,7","23.130,6","29.160,4","19.591,8","10,26M","23,10%"
"Февр. '23","23130,5","23.124,7","25.236,8","21.418,7","9,09M","0,02%"
"Янв. '23","23125,1","16.537,5","23.952,9","16.499,7","8,98M","39,83%"
"Дек. '22","16537,4","17.163,4","18.351,8","16.331,2","6,61M","-3,65%"
"Нояб. '22","17163,9","20.496,1","21.464,7","15.504,2","10,30M","-16,26%"
"Окт. '22","20496,3","19.422,9","21.038,1","18.207,9","8,29M","5,53%"
"Сент. '22","19423,0","20.049,9","22.702,5","18.191,8","10,91M","-3,10%"
"Авг. '22","20043,9","23.303,4","25.205,7","19.542,9","6,55M","-13,99%"
"Июль '22","23303,4","19.926,6","24.605,3","18.794,4","5,79M","16,95%"
"Июнь '22","19926,6","31.793,1","31.969,9","17.630,5","3,79M","-37,32%"